"","Ticket.ID","Issue.Type","Issue.Description","Case.Owner","Case.Owner.Description","Street.Address","City","State...Province","Zip...Postal.Code","Neighborhood...District...Ward...etc.","Created.Year.Month","Ticket.Created.Date...Time","Ticket.Last.Updated.Date...Time","Ticket.Closed.Date...Time","Ticket.Status","X.Coordinate","Y.Coordinate","Latitude","Longitude","Location.Geo..Coded","Method.Received","Goal.Days","Actual.Completed.Days"
"10885","17-10030954","TRAFFIC SIGN  CONTROL SIGNS  DOWN DAMAGED  MISSING",NA,"Public_Works_Traffic_Engineering-10-60","Public_Works_Traffic_Engineering-10-60","NW 117TH WAY & NW S RIVER DR","Town_of_Medley","Florida",33178,"District 12",20171,"01/26/2017 12:00:00 AM","10/16/2017 12:00:00 AM","10/16/2017 12:00:00 AM","CLOSED",867232.686,562448.435,25.879604,-80.358049,"NW 117TH WAY &amp; NW S RIVER DR
MIAMI, Florida 33178
(25.879604, -80.358049)","PHONE",2,263
"164898","14-10303673","POTHOLE",NA,"Public_Works_Road_And_Bridges-16-60","Public_Works_Road_And_Bridges-16-60","32000 SW 117TH AVE","Miami_Dade_County","Florida",33033,"District 9",20144,"04/02/2014 08:19:00 AM","04/02/2014 12:00:00 AM","04/02/2014 12:00:00 AM","CLOSED",860829.625,413650.874,25.470298,-80.379646,"32000 SW 117TH AVE
MIAMI, Florida 33033
(25.470298, -80.379646)","XTERFACE",3,0
"339599","16-10145170","PET ACCOUNT UPDATE",NA,"Animal_Services","Animal Services","602 W 35TH ST","City_of_Hialeah","Florida",33012,"District 13",20164,"04/15/2016 11:27:49 AM","05/02/2016 02:10:08 PM","05/02/2016 02:10:08 PM","CLOSED",888160.622,552970.436,25.853233,-80.294556,"602 W 35TH ST
MIAMI, Florida 33012
(25.853233, -80.294556)","PHONE",30,17
"580130","15-10334454","SETBACK VIOLATIONS",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","30328 SW 158TH PL","Miami_Dade_County","Florida",33033,"District 8",201510,"10/02/2015 12:00:00 AM","12/08/2015 08:30:18 AM","12/08/2015 08:26:59 AM","CLOSED",838023.438,418936.031,25.485116,-80.448705,"30328 SW 158TH PL
MIAMI, Florida 33033
(25.485116, -80.448705)","XTERFACE",180,67
"440069","17-10272194","ANIMAL SERVICES DOG TAG",NA,"Animal_Services","Animal Services","3870 SW 1ST ST","City_of_Miami","Florida",33134,"District 6",20177,"07/11/2017 02:59:23 PM","07/11/2017 02:59:23 PM","07/11/2017 02:59:23 PM","CLOSED",900251.312,523058.623,25.770756,-80.258306,"3870 SW 1ST ST
MIAMI, Florida 33134
(25.770756, -80.258306)","WALKIN",0,0
"633384","17-10427904","ABANDONED PROPERTY / VEHICLE",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","16697 SW 91ST LN","Miami_Dade_County","Florida",33196,"District 11",201711,"11/03/2017 09:02:42 AM","11/17/2017 07:36:09 AM","11/17/2017 07:36:05 AM","CLOSED",833198.317,489941.99,25.680536,-80.46246,"16697 SW 91ST LN
MIAMI, Florida 33196
(25.680536, -80.46246)","WEB",90,14
"315072","16-10000560","ASU POLICE ASSISTANCE",NA,"Animal_Services","Animal Services","160 NE 82ND TER","City_of_Miami","Florida",33138,"District 3",20161,"01/02/2016 03:36:24 PM","01/02/2016 05:29:38 PM","01/02/2016 05:29:38 PM","CLOSED",921139.013,552174.316,25.85052,-80.194298,"160 NE 82ND TER
MIAMI, Florida 33138
(25.85052, -80.194298)","PHONE",1,0
"160953","14-10284600","PET ACCOUNT UPDATE",NA,"Animal_Services","Animal Services","13984 SW 46TH TER","Miami_Dade_County","Florida",33175,"District 10",20143,"03/25/2014 11:20:54 AM","03/28/2014 10:56:20 AM","03/28/2014 10:56:20 AM","CLOSED",847060.924,506110.318,25.724859,-80.420153,"13984 SW 46TH TER
MIAMI, Florida 33175
(25.724859, -80.420153)","PHONE",30,3
"139725","14-10175599","STRAY / DOG-AT-LARGE",NA,"Animal_Services","Animal Services","780 FISHERMAN ST","City_of_Opa-Locka","Florida",33054,"District 1",20141,"01/06/2014 10:51:06 AM","01/08/2014 06:37:07 PM","01/08/2014 06:37:07 PM","CLOSED",902238.372,570758.247,25.901956,-80.251443,"780 FISHERMAN ST
MIAMI, Florida 33054
(25.901956, -80.251443)","PHONE",3,2
"297131","15-10335512","ASU POLICE ASSISTANCE",NA,"Animal_Services","Animal Services","5430 NW 174TH DR","Miami_Dade_County","Florida",33055,"District 1",201510,"10/04/2015 12:05:34 PM","10/07/2015 09:41:24 AM","10/04/2015 04:02:20 PM","CLOSED",889510.25,581324.372,25.93122,-80.289986,"5430 NW 174TH DR
MIAMI, Florida 33055
(25.93122, -80.289986)","PHONE",1,0
"102462","13-10058895","PET ACCOUNT UPDATE",NA,"Animal_Services","Animal Services","6101 NW 21ST AVE","Miami_Dade_County","Florida",33142,"District 3",20138,"08/01/2013 09:18:49 AM","08/02/2013 10:42:28 AM","08/02/2013 10:42:28 AM","CLOSED",909227.56,544936.31,25.830804,-80.230644,"6101 NW 21ST AVE
MIAMI, Florida 33142
(25.830804, -80.230644)","PHONE",30,1
"261977","15-10149707","STRAY DOG PICK UP - MD",NA,"Animal_Services","Animal Services","21195 SW 248TH ST","Miami_Dade_County","Florida",33031,"District 8",20155,"05/07/2015 04:24:02 PM","05/08/2015 10:39:36 AM","05/08/2015 10:39:36 AM","CLOSED",809761.376,437257.063,25.535822,-80.534184,"21195 SW 248TH ST
MIAMI, Florida 33031
(25.535822, -80.534184)","PHONE",2,1
"547365","14-10494036","MINIMUM HOUSING OVA (OPEN/VACANT/ABANDONED)",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","8600 SW 87TH TER","Miami_Dade_County","Florida",33143,"District 7",20149,"09/12/2014 12:03:29 PM","09/16/2014 09:27:24 AM","09/16/2014 08:47:50 AM","CLOSED",876028.748,492992.873,25.688393,-80.332369,"8600 SW 87TH TER
MIAMI, Florida 33143
(25.688393, -80.332369)","PHONE",120,4
"314698","15-10437430","TREE REMOVAL (RAAM)",NA,"RAAM-27-93","RAAM-27-93","3159 NW 101ST ST","Miami_Dade_County","Florida",33147,"District 2",201512,"12/30/2015 11:30:50 AM","03/02/2016 11:04:21 AM","03/02/2016 11:04:21 AM","CLOSED",902831.936,557955.437,25.866724,-80.24986,"3159 NW 101ST ST
MIAMI, Florida 33147
(25.866724, -80.24986)","PROACT",30,63
"448228","17-10324528","ANIMAL CRUELTY INVESTIGATION",NA,"Animal_Services","Animal Services","2343 SE 16TH PL","City_of_Homestead","Florida",33035,"District 9",20178,"08/14/2017 10:44:32 AM","08/14/2017 04:15:34 PM","08/14/2017 04:15:34 PM","CLOSED",837220.806,406256.068,25.450237,-80.451296,"2343 SE 16TH PL
HOMESTEAD, Florida 33035
(25.450237, -80.451296)","PHONE",14,0
"271239","15-10200350","PET ACCOUNT UPDATE",NA,"Animal_Services","Animal Services","15325 LINCOLN DR","Miami_Dade_County","Florida",33033,"District 8",20156,"06/19/2015 05:34:18 PM","07/17/2015 04:24:34 PM","07/17/2015 04:24:34 PM","CLOSED",841119.753,421845.815,25.493086,-80.439282,"15325 LINCOLN DR
MIAMI, Florida 33033
(25.493086, -80.439282)","PHONE",30,28
"514333","13-10124286","SIGNS ON THE ROW",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","15900 NE 6TH AVE","Miami_Dade_County","Florida",33162,"District 2",201311,"11/01/2013 12:00:00 AM","11/04/2013 12:05:27 PM","11/04/2013 12:00:00 AM","CLOSED",923052.375,577893.188,25.921244,-80.187997,"15900 NE 6TH AVE
MIAMI, Florida 33162
(25.921244, -80.187997)","XTERFACE",30,3
"637227","15-10245474","VISUAL OBSTRUCTION SAFETY ISSUE (RAAM)",NA,"RAAM-27-93","RAAM-27-93","SW 103RD AVE & SW 38TH TER","Miami_Dade_County","Florida",33165,"District 10",20157,"07/27/2015 03:22:31 PM","08/06/2015 01:52:34 PM","08/06/2015 01:52:34 PM","CLOSED",866278.622,509496.155,25.733931,-80.361732,"SW 103RD AVE &amp; SW 38TH TER
MIAMI, Florida 33165
(25.733931, -80.361732)","PHONE",10,10
"405772","17-10046210","GRAFFITI ON COUNTY PROPERTY OR ROW",NA,"Public_Works_Road_And_Bridges-16-60","Public_Works_Road_And_Bridges-16-60","12398 SW 168TH ST","Miami_Dade_County","Florida",33177,"District 9",20172,"02/02/2017 09:01:00 AM","02/02/2017 12:00:00 AM","02/02/2017 12:00:00 AM","CLOSED",856254.344,465148.646,25.612046,-80.3928,"12398 SW 168TH ST
MIAMI, Florida 33177
(25.612046, -80.3928)","XTERFACE",14,0
"541549","14-10429559","SIGNS ON THE ROW",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","13501 NW 27TH AVE","City_of_Opa-Locka","Florida",33167,"District 2",20147,"07/18/2014 12:00:00 AM","07/21/2014 12:06:10 PM","07/21/2014 12:00:00 AM","CLOSED",904820,569069.562,25.897269,-80.24362,"13501 NW 27TH AVE
MIAMI, Florida 33167
(25.897269, -80.24362)","XTERFACE",30,3
"478510","17-10463564","PET ACCOUNT UPDATE",NA,"Animal_Services","Animal Services","8411 SW 201ST ST","Town_of_Cutler_Bay","Florida",33189,"District 8",201712,"12/06/2017 05:25:00 PM","12/07/2017 08:28:05 AM","12/07/2017 08:28:05 AM","CLOSED",877894.312,453802.783,25.580542,-80.327308,"8411 SW 201ST ST
MIAMI, Florida 33189
(25.580542, -80.327308)","PHONE",30,1
"475956","17-10447453","ABANDONED PROPERTY / VEHICLE",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","20310 HIGHLAND LAKES BLVD","Miami_Dade_County","Florida",33179,"District 4",201711,"11/24/2017 07:31:24 PM","04/07/2018 08:18:01 AM","","LOCKED",931395,593246,25.963337,-80.162318,"20310 HIGHLAND LAKES BLVD
MIAMI, Florida 33179
(25.963337, -80.162318)","IPHONE",90,NA
"149264","14-10216567","ASU POLICE ASSISTANCE",NA,"Animal_Services","Animal Services","3468 W 14TH CT","City_of_Hialeah","Florida",33012,"District 13",20142,"02/06/2014 02:34:03 PM","02/06/2014 04:47:07 PM","02/06/2014 04:47:07 PM","CLOSED",882563.747,552932.188,25.853209,-80.311575,"3468 W 14TH CT
MIAMI, Florida 33012
(25.853209, -80.311575)","PHONE",1,0
"463020","17-10386886","UNAUTHORIZED USE - RESIDENTIAL / BUSINESS",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","3340 NW 100TH ST","Miami_Dade_County","Florida",33147,"District 2",20178,"08/24/2017 03:11:58 PM","02/01/2018 03:57:01 PM","","LOCKED",901598,557367,25.865124,-80.253623,"3340 NW 100TH ST
MIAMI, Florida 33147
(25.865124, -80.253623)","XTERFACE",180,NA
"597682","16-10201619","JUNK AND TRASH / OVERGROWTH",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","9050 NW 31ST AVE","Miami_Dade_County","Florida",33147,"District 2",20165,"05/26/2016 09:50:22 AM","08/01/2016 03:42:15 PM","08/01/2016 03:42:01 PM","CLOSED",903326.749,554087.935,25.856076,-80.248423,"9050 NW 31ST AVE
MIAMI, Florida 33147
(25.856076, -80.248423)","OTHER",90,67
"447134","17-10318193","ANIMAL SERVICES DOG TAG CHECK",NA,"Animal_Services","Animal Services","20701 NW 41ST AVENUE RD","City_of_Miami_Gardens","Florida",33055,"District 1",20178,"08/09/2017 11:29:42 AM","08/10/2017 04:37:39 PM","08/10/2017 04:37:39 PM","CLOSED",897554.436,592892.874,25.962925,-80.265313,"20701 NW 41ST AVENUE RD
MIAMI, Florida 33055
(25.962925, -80.265313)","PHONE",0,1
"348500","16-10198391","STRAY / DOG-AT-LARGE",NA,"Animal_Services","Animal Services","13956 SW 155TH ST","Miami_Dade_County","Florida",33177,"District 9",20165,"05/24/2016 12:12:40 PM","05/25/2016 01:41:34 PM","05/25/2016 01:41:34 PM","CLOSED",847359.314,469210.812,25.623332,-80.419739,"13956 SW 155TH ST
MIAMI, Florida 33177
(25.623332, -80.419739)","PHONE",3,1
"201516","14-10463852","INJURED ANIMAL",NA,"Animal_Services","Animal Services","21200 KROME AVE","Miami_Dade_County","Florida",33187,"District 8",20148,"08/15/2014 02:04:59 PM","08/15/2014 03:53:56 PM","08/15/2014 03:53:56 PM","CLOSED",827473.439,449134.596,25.568322,-80.480328,"21200 KROME AVE
MIAMI, Florida 33187
(25.568322, -80.480328)","PHONE",1,0
"247049","15-10070049","STRAY / DOG-AT-LARGE",NA,"Animal_Services","Animal Services","11431 SW 186TH ST","Miami_Dade_County","Florida",33157,"District 9",20153,"03/02/2015 08:17:59 AM","03/04/2015 09:05:23 AM","03/04/2015 09:05:23 AM","CLOSED",861286.81,459274.283,25.595819,-80.377613,"11431 SW 186TH ST
MIAMI, Florida 33157
(25.595819, -80.377613)","PHONE",3,2
"583557","15-10390735","ABANDONED PROPERTY / VEHICLE",NA,"Regulatory_and_Economic_Resources","Regulatory and Economic Resources","11470 SW 182ND LN","Miami_Dade_County","Florida",33157,"District 9",201511,"11/17/2015 12:00:00 AM","12/02/2015 10:48:04 AM","12/02/2015 10:47:59 AM","CLOSED",861024.75,460372.25,25.598844,-80.378392,"11470 SW 182ND LN
MIAMI, Florida 33157
(25.598844, -80.378392)","XTERFACE",90,15
"448902","17-10329055","STRAY DOG PICK UP - MD",NA,"Animal_Services","Animal Services","2248 NW 51ST TER","Miami_Dade_County","Florida",33142,"District 3",20178,"08/16/2017 10:58:39 AM","08/17/2017 09:37:22 AM","08/17/2017 09:37:22 AM","CLOSED",908279.56,541629.122,25.82172,-80.233584,"2248 NW 51ST TER
MIAMI, Florida 33142
(25.82172, -80.233584)","PHONE",2,1
